energia_prestep_MeV,count_in_bin,sum_edep_bin_MeV,edep_media_por_entrada_MeV
1.749999999999999820e-03,3.160000000000000000e+03,5.655813694000244141e+00,1.789814460126659462e-03
5.249999999999999459e-03,3.665000000000000000e+03,2.348344421386719105e+01,6.407488189322562214e-03
8.749999999999999098e-03,3.595000000000000000e+03,2.784767150878905895e+01,7.746222950984439290e-03
1.224999999999999874e-02,1.347000000000000000e+03,1.504108047485351918e+01,1.116635521518449803e-02
1.575000000000000011e-02,1.396000000000000000e+03,2.000537681579589844e+01,1.433049915171625936e-02
1.924999999999999628e-02,1.322000000000000000e+03,2.334829521179198863e+01,1.766134282283811710e-02
2.274999999999999939e-02,1.426000000000000000e+03,3.026012229919433949e+01,2.122028211724708360e-02
2.624999999999999556e-02,1.600000000000000000e+03,4.016833496093750000e+01,2.510520935058593861e-02
2.974999999999999867e-02,1.488000000000000000e+03,4.130156707763671875e+01,2.775642948765908585e-02
3.325000000000000178e-02,4.864000000000000000e+03,1.557095489501953125e+02,3.201265397824739484e-02
3.674999999999999101e-02,2.950000000000000000e+03,1.044623413085938068e+02,3.541096315545552708e-02
4.024999999999999412e-02,3.127000000000000000e+03,1.189119949340820028e+02,3.802750077840805903e-02
4.374999999999999722e-02,7.338000000000000000e+03,9.976941680908203125e+01,1.359626830322731468e-02
4.725000000000000033e-02,2.372000000000000000e+03,7.270595550537109375e+01,3.065175189939759598e-02
5.074999999999998956e-02,1.502000000000000000e+03,5.856035614013671875e+01,3.898825308930540384e-02
5.424999999999999267e-02,1.215000000000000000e+03,6.270445251464843750e+01,5.160860289271476664e-02
5.774999999999999578e-02,1.215000000000000000e+03,6.571739196777343750e+01,5.408838845084233682e-02
6.124999999999999889e-02,1.201000000000000000e+03,6.991049957275390625e+01,5.821024110970349913e-02
6.475000000000000200e-02,1.166000000000000000e+03,7.140984344482421875e+01,6.124343348612711763e-02
6.824999999999999123e-02,1.201000000000000000e+03,7.783171844482421875e+01,6.480576057021167347e-02
7.174999999999999434e-02,1.227000000000000000e+03,8.292438507080078125e+01,6.758303591752304329e-02
7.524999999999998357e-02,1.149000000000000000e+03,8.131181335449218750e+01,7.076746157919250324e-02
7.874999999999998668e-02,1.118000000000000000e+03,8.229872131347656250e+01,7.361245197985381850e-02
8.224999999999998979e-02,1.138000000000000000e+03,8.608739471435546875e+01,7.564797426569021266e-02
8.574999999999999289e-02,1.095000000000000000e+03,8.579764556884765625e+01,7.835401421812571154e-02
8.924999999999999600e-02,1.063000000000000000e+03,8.611212921142578125e+01,8.100858815750308639e-02
9.274999999999999911e-02,1.112000000000000000e+03,9.380117034912109375e+01,8.435357045784271091e-02
9.624999999999998834e-02,1.013000000000000000e+03,8.708174896240234375e+01,8.596421417808720877e-02
9.974999999999999145e-02,1.034000000000000000e+03,9.182810211181640625e+01,8.880860939247234298e-02
1.032499999999999807e-01,1.043000000000000000e+03,9.657168579101562500e+01,9.259030277182705992e-02
