canal,counts
0.5,0
1.5,0
2.5,0
3.5,0
4.5,1
5.5,0
6.5,3
7.5,2
8.5,7
9.5,8
10.5,10
11.5,24
12.5,28
13.5,24
14.5,44
15.5,48
16.5,42
17.5,61
18.5,35
19.5,55
20.5,50
21.5,53
22.5,59
23.5,63
24.5,53
25.5,57
26.5,55
27.5,43
28.5,35
29.5,44
30.5,46
31.5,46
32.5,52
33.5,50
34.5,50
35.5,60
36.5,44
37.5,51
38.5,53
39.5,63
40.5,49
41.5,44
42.5,42
43.5,53
44.5,42
45.5,46
46.5,37
47.5,44
48.5,54
49.5,45
50.5,66
51.5,61
52.5,41
53.5,38
54.5,45
55.5,37
56.5,41
57.5,45
58.5,40
59.5,45
60.5,62
61.5,47
62.5,57
63.5,38
64.5,45
65.5,47
66.5,40
67.5,39
68.5,58
69.5,47
70.5,43
71.5,51
72.5,44
73.5,48
74.5,58
75.5,43
76.5,48
77.5,48
78.5,48
79.5,51
80.5,43
81.5,48
82.5,52
83.5,52
84.5,42
85.5,40
86.5,40
87.5,43
88.5,34
89.5,48
90.5,39
91.5,57
92.5,44
93.5,38
94.5,44
95.5,36
96.5,50
97.5,44
98.5,41
99.5,55
100.5,48
101.5,49
102.5,39
103.5,49
104.5,45
105.5,53
106.5,53
107.5,48
108.5,53
109.5,53
110.5,33
111.5,59
112.5,53
113.5,44
114.5,45
115.5,43
116.5,33
117.5,55
118.5,45
119.5,50
120.5,63
121.5,46
122.5,48
123.5,44
124.5,51
125.5,34
126.5,39
127.5,51
128.5,42
129.5,56
130.5,41
131.5,31
132.5,53
133.5,47
134.5,37
135.5,51
136.5,42
137.5,47
138.5,52
139.5,38
140.5,46
141.5,38
142.5,34
143.5,48
144.5,39
145.5,47
146.5,35
147.5,48
148.5,43
149.5,54
150.5,44
151.5,52
152.5,52
153.5,43
154.5,51
155.5,51
156.5,42
157.5,33
158.5,46
159.5,46
160.5,44
161.5,28
162.5,48
163.5,46
164.5,46
165.5,44
166.5,38
167.5,45
168.5,51
169.5,40
170.5,51
171.5,49
172.5,41
173.5,53
174.5,38
175.5,40
176.5,46
177.5,48
178.5,39
179.5,32
180.5,47
181.5,44
182.5,55
183.5,45
184.5,37
185.5,34
186.5,38
187.5,41
188.5,39
189.5,43
190.5,39
191.5,38
192.5,35
193.5,46
194.5,49
195.5,46
196.5,42
197.5,49
198.5,36
199.5,34
200.5,39
201.5,50
202.5,50
203.5,41
204.5,42
205.5,41
206.5,35
207.5,49
208.5,46
209.5,44
210.5,40
211.5,42
212.5,41
213.5,48
214.5,40
215.5,48
216.5,34
217.5,50
218.5,30
219.5,45
220.5,41
221.5,35
222.5,37
223.5,46
224.5,36
225.5,33
226.5,50
227.5,32
228.5,38
229.5,43
230.5,49
231.5,34
232.5,46
233.5,39
234.5,48
235.5,38
236.5,57
237.5,37
238.5,57
239.5,43
240.5,33
241.5,39
242.5,40
243.5,39
244.5,47
245.5,26
246.5,24
247.5,25
248.5,35
249.5,48
250.5,39
251.5,41
252.5,41
253.5,39
254.5,35
255.5,47
256.5,48
257.5,46
258.5,39
259.5,43
260.5,36
261.5,35
262.5,45
263.5,32
264.5,42
265.5,38
266.5,37
267.5,53
268.5,39
269.5,41
270.5,27
271.5,39
272.5,50
273.5,40
274.5,42
275.5,41
276.5,42
277.5,30
278.5,37
279.5,45
280.5,33
